Query.ID Iteration Dok.Nummer Rang Score System
245 Q0 34694 0 0.888 AK
245 Q0 30014 1 0.879 AK
245 Q0 38008 2 0.876 AK
245 Q0 34877 3 0.868 AK
245 Q0 9618 4 0.862 AK
245 Q0 7027 5 0.859 AK
245 Q0 39986 6 0.854 AK
245 Q0 2371 7 0.853 AK
245 Q0 1716 8 0.853 AK
245 Q0 11693 9 0.853 AK
245 Q0 16870 10 0.852 AK
245 Q0 34188 11 0.850 AK
245 Q0 6237 12 0.850 AK
245 Q0 19376 13 0.848 AK
245 Q0 3814 14 0.848 AK
245 Q0 31438 15 0.848 AK
245 Q0 39470 16 0.848 AK
245 Q0 35771 17 0.847 AK
245 Q0 24362 18 0.845 AK
245 Q0 36341 19 0.845 AK
245 Q0 16058 20 0.844 AK
245 Q0 30981 21 0.844 AK
245 Q0 10989 22 0.844 AK
245 Q0 39350 23 0.843 AK
245 Q0 34570 24 0.843 AK
245 Q0 11092 25 0.843 AK
245 Q0 7871 26 0.843 AK
245 Q0 2168 27 0.842 AK
245 Q0 25797 28 0.842 AK
245 Q0 8029 29 0.841 AK
245 Q0 26324 30 0.841 AK
245 Q0 34964 31 0.840 AK
245 Q0 1385 32 0.840 AK
245 Q0 17797 33 0.839 AK
245 Q0 18163 34 0.839 AK
245 Q0 3530 35 0.838 AK
245 Q0 15120 36 0.838 AK
245 Q0 28299 37 0.838 AK
245 Q0 12500 38 0.837 AK
245 Q0 39562 39 0.837 AK
245 Q0 20178 40 0.837 AK
245 Q0 27429 41 0.836 AK
245 Q0 38044 42 0.836 AK
245 Q0 28388 43 0.836 AK
245 Q0 8496 44 0.835 AK
245 Q0 36964 45 0.835 AK
245 Q0 6477 46 0.835 AK
245 Q0 32418 47 0.835 AK
245 Q0 34144 48 0.834 AK
245 Q0 38202 49 0.834 AK
245 Q0 4210 50 0.834 AK
245 Q0 8302 51 0.833 AK
245 Q0 27856 52 0.833 AK
245 Q0 30009 53 0.833 AK
245 Q0 17305 54 0.832 AK
245 Q0 39006 55 0.832 AK
245 Q0 30073 56 0.832 AK
245 Q0 8998 57 0.832 AK
245 Q0 12879 58 0.832 AK
245 Q0 22849 59 0.832 AK
245 Q0 25740 60 0.831 AK
245 Q0 17043 61 0.831 AK
245 Q0 30602 62 0.831 AK
245 Q0 30604 63 0.830 AK
245 Q0 7091 64 0.830 AK
245 Q0 12352 65 0.830 AK
245 Q0 10941 66 0.830 AK
245 Q0 2330 67 0.829 AK
245 Q0 32199 68 0.829 AK
245 Q0 16283 69 0.829 AK
245 Q0 32957 70 0.828 AK
245 Q0 13611 71 0.828 AK
245 Q0 29078 72 0.828 AK
245 Q0 36133 73 0.828 AK
245 Q0 8323 74 0.828 AK
245 Q0 2625 75 0.828 AK
245 Q0 28901 76 0.828 AK
245 Q0 18447 77 0.828 AK
245 Q0 21619 78 0.827 AK
245 Q0 11995 79 0.827 AK
245 Q0 34428 80 0.827 AK
245 Q0 26931 81 0.827 AK
245 Q0 10913 82 0.827 AK
245 Q0 39315 83 0.827 AK
245 Q0 2556 84 0.827 AK
245 Q0 98 85 0.827 AK
245 Q0 38480 86 0.827 AK
245 Q0 23910 87 0.827 AK
245 Q0 25493 88 0.826 AK
245 Q0 31151 89 0.826 AK
245 Q0 39566 90 0.826 AK
245 Q0 15206 91 0.826 AK
245 Q0 14578 92 0.826 AK
245 Q0 38926 93 0.826 AK
245 Q0 1580 94 0.826 AK
245 Q0 10789 95 0.825 AK
245 Q0 24412 96 0.825 AK
245 Q0 29138 97 0.825 AK
245 Q0 1892 98 0.825 AK
245 Q0 29507 99 0.825 AK
245 Q0 12412 100 0.825 AK
245 Q0 39900 101 0.825 AK
245 Q0 15798 102 0.825 AK
245 Q0 26985 103 0.824 AK
245 Q0 18370 104 0.823 AK
245 Q0 35233 105 0.823 AK
245 Q0 4716 106 0.823 AK
245 Q0 18573 107 0.823 AK
245 Q0 5889 108 0.823 AK
245 Q0 19172 109 0.823 AK
245 Q0 27876 110 0.823 AK
245 Q0 30383 111 0.823 AK
245 Q0 34519 112 0.823 AK
245 Q0 16916 113 0.823 AK
245 Q0 20797 114 0.822 AK
245 Q0 10791 115 0.822 AK
245 Q0 28502 116 0.822 AK
245 Q0 2736 117 0.820 AK
245 Q0 3641 118 0.820 AK
245 Q0 12888 119 0.820 AK
245 Q0 14814 120 0.820 AK
245 Q0 13148 121 0.820 AK
245 Q0 30664 122 0.820 AK
245 Q0 30845 123 0.820 AK
245 Q0 38546 124 0.820 AK
245 Q0 11828 125 0.820 AK
245 Q0 10896 126 0.820 AK
245 Q0 24303 127 0.820 AK
245 Q0 10627 128 0.820 AK
245 Q0 36723 129 0.819 AK
245 Q0 15003 130 0.819 AK
245 Q0 3792 131 0.819 AK
245 Q0 31561 132 0.819 AK
245 Q0 37656 133 0.819 AK
245 Q0 28900 134 0.819 AK
245 Q0 25938 135 0.819 AK
245 Q0 21270 136 0.819 AK
245 Q0 15463 137 0.819 AK
245 Q0 13585 138 0.819 AK
245 Q0 14529 139 0.818 AK
245 Q0 9449 140 0.818 AK
245 Q0 19535 141 0.818 AK
245 Q0 6869 142 0.818 AK
245 Q0 7722 143 0.818 AK
245 Q0 3216 144 0.818 AK
245 Q0 5902 145 0.818 AK
245 Q0 27146 146 0.818 AK
245 Q0 35759 147 0.818 AK
245 Q0 14905 148 0.818 AK
245 Q0 16845 149 0.818 AK
245 Q0 11831 150 0.817 AK
245 Q0 22440 151 0.817 AK
245 Q0 36569 152 0.817 AK
245 Q0 2172 153 0.817 AK
245 Q0 10861 154 0.817 AK
